journal	IF2023	quartile2023
ACTA ORTHOP TRAUMATOL TURC	1.1	Q3
ACTA ORTOP BRAS	0.5	Q4
ACTA OTOLARYNGOL	1.2	Q3
ACTA OTOLARYNGOL CASE REP	0.3	Q4
ACTA OTORHINOLARYNGOL ITAL	2.1	Q2
ACTA OTORRINOLARINGOL ESP	0.9	Q3
ACTA PAEDIATR	2.4	Q1
ACTA PARASITOL	1.2	Q2
ACTA PHARM	2.1	Q3
ACTA PHARM SIN B	14.7	Q1
ACTA PHARMACOL SIN	6.9	Q1
ACTA PHYS POL A	0.5	Q4
ACTA PHYSIOL (OXF)	5.6	Q1
ACTA POL HIST	0.1	Q3
ACTA POL PHARM	0.4	Q4
ACTA POLIT	1.4	Q2
ACTA PROTOZOOL	1.5	Q4
ACTA PSYCHIATR SCAND	5.3	Q1
ACTA PSYCHOL (AMST)	2.1	Q2
ACTA RADIOL	1.1	Q3
ACTA RADIOL OPEN	0.9	Q4
ACTA REUMATOL PORT	1	Q4
ACTA SCI POL TECHNOL ALIMENT	1.3	Q4
ACTA STOMATOL CROAT	1.4	Q3
ACTA TROP	2.1	Q2
ACTA UNIV CAROL GEOGR	0.5	Q3
ACTA UNIV SAPIENTIAE MATEM	0.6	Q3
ACTA VET BRNO	0.6	Q3
ACTA VET HUNG	0.7	Q3
ACTA VET SCAND	1.9	Q2
ACTA VIROL	1.1	Q4
ACTAS DERMOSIFILIOGR	3.8	Q1
ACTAS ESP PSIQUIATR	1	Q4
ACTAS UROL ESP	1.2	Q3
ACTES RECH SCI SOC	0.4	Q3
ACTION LEARN	1.1	Q3
ACTION RES (LOND)	1.6	Q2
ACTUAL PHARM	0.1	Q4
ACTUAL PSICOL	0.2	Q4
ACTUATORS	2.2	Q2
ACUPUNCT ELECTROTHER RES	0.2	Q4
ACUPUNCT MED	2.4	Q2
ACUTE CRIT CARE	1.7	Q3
ACUTE MED SURG	1.5	Q2
AD HOC NETW	4.4	Q1
ADANSONIA	0.7	Q4
ADAPT BEHAV	1.2	Q2
ADAPT HUMAN BEHAV PHYSIOL	1.2	Q3
ADAPT PHYS ACTIV Q	1.7	Q3
ADDICT BEHAV	3.7	Q1
ADDICT BIOL	3.1	Q2
ADDICT RES THEORY	1.9	Q3
ADDICT SCI CLIN PRACT	3.7	Q1
ADDICTION	5.2	Q1
ADDIT MANUF	10.3	Q1
ADDIT MANUF LETT	4.2	Q2
ADICCIONES	2.2	Q3
ADIPOCYTE	3.5	Q2
ADM POLICY MENT HEALTH	2	Q3
ADM SCI	3	Q2
ADM SCI Q	8.3	Q1
ADM SOC	3.2	Q1
ADMET DMPK	3.4	Q2
ADOLESC HEALTH MED THER	1.7	Q2
ADOLESC PSYCHIATRY (HILVERSUM)	0.4	Q4
ADOLESC RES REV	4.7	Q1
ADOPT FOSTER	1	Q3
ADOPT Q	0.9	Q3
ADSORP SCI TECHNOL	2.8	Q2
ADSORPTION (BOSTON)	3	Q2
ADULT EDUC Q (AM ASSOC ADULT CONTIN EDUC)	1.5	Q2
ADV AERODYN	2.9	Q1
ADV ANAT PATHOL	5.1	Q1
ADV APPL CERAM	1.3	Q3
ADV APPL CLIFFORD ALGEBR	1.1	Q3
ADV APPL MATH	1	Q3
ADV APPL MATH MECH	1.5	Q3
ADV APPL PROBAB	0.9	Q3
ADV APPL STAT	0.1	Q4
ADV ATMOS SCI	6.5	Q1
ADV AUTISM	1.1	Q4
ADV BIOL (WEINH)	3.2	Q3
ADV BIOMED RES	0.7	Q4
ADV CANCER BIOL METASTASIS	2	Q3
ADV CHRONIC KIDNEY DIS	2	Q2
ADV CIV ENG MATER	1.4	Q4
ADV CLIN EXP MED	2.1	Q3
ADV COGN PSYCHOL	1	Q4
ADV COLLOID INTERFACE SCI	15.9	Q1
ADV COMPOS HYBRID MATER	23.2	Q1
ADV COMPUT MATH	1.7	Q2
ADV CONTIN DISCRET MODEL	2.3	Q1
ADV DATA ANAL CLASSIF	1.4	Q2
ADV DEV HUM RESOUR	3.1	Q1
ADV DIFFER EQU	3.1	Q1
ADV DRUG DELIV REV	15.2	Q1
ADV DUAL DIAGN	0.8	Q4
ADV ELECTRON MATER	5.3	Q1
ADV EMERG NURS J	0.8	Q4
ADV ENERGY MATER	24.4	Q1
ADV ENG MATER	3.4	Q2
ADV ENG SOFTW	4	Q1
ADV FIBER MATER	17.2	Q1
ADV FUNCT MATER	18.5	Q1
ADV HEALTH SCI EDUC THEORY PRACT	3	Q2
ADV HEALTHC MATER	10	Q1
ADV INTEGR MED	1.2	Q3
ADV INTELL SYST	6.8	Q1
ADV LAB MED	1.1	Q4
ADV LIFE COURSE RES	1.9	Q1
ADV LIFE SCI	0.9	Q3
ADV MANUF	4.2	Q2
ADV MATER	27.4	Q1
ADV MATER INTERFACES	4.3	Q2
ADV MATER TECHNOL	6.4	Q1
ADV MATH (N Y)	1.5	Q1
ADV MED EDUC PRACT	1.8	Q2
ADV MED SCI	2.5	Q3
ADV MENT HEALTH	1.4	Q3
ADV MENT HEALTH INTELLECT DISABIL	1.2	Q4
ADV METHODS PRACT PSYCHOL SCI	15.6	Q1
ADV MODEL SIMUL ENG SCI	2	Q3
ADV NANO RES	4.3	Q2
ADV NANOBIOMED RES	4	Q2
ADV NEONATAL CARE	1.6	Q2
ADV NEURODEV DISORD	1.3	Q3
ADV NONLINEAR STUD	2.1	Q1
ADV NUTR	8	Q1
ADV OPER THEORY	0.8	Q2
ADV OPT MATER	8	Q1
ADV OPT PHOTONICS	25.2	Q1
ADV OPT TECHNOL	2.3	Q2
ADV ORTHOP	1.2	Q3
ADV PHARM BULL	3.1	Q2
ADV PHARMACOL PHARM SCI	2.1	Q3
ADV PHOTONICS	20.6	Q1
ADV PHOTONICS RES	3.7	Q2
ADV PHYS	35	Q1
ADV PHYS X	7.7	Q1
ADV PHYSIOL EDUC	1.7	Q4
ADV POWDER TECHNOL	4.2	Q2
ADV PUBLIC HEALTH	1.7	Q3
ADV QUANTUM TECHNOL	4.4	Q2
ADV RADIAT ONCOL	2.2	Q2
ADV RESPIR MED	1.8	Q3
ADV RHEUMATOL	2	Q3
ADV ROBOT	1.4	Q4
ADV SCI (WEINH)	14.3	Q1
ADV SIMUL (LOND)	2.8	Q2
ADV SKIN WOUND CARE	1.7	Q2
ADV SPACE RES	2.8	Q3
ADV STAT ANAL	1.4	Q2
ADV SUSTAIN SYST	6.5	Q1
ADV SYNTH CATAL	4.4	Q1
ADV THEORY SIMUL	2.9	Q1
ADV THER	3.4	Q2
ADV THER (WEINH)	3.7	Q2
ADV UROL	1.8	Q3
ADV VIROL	1.1	Q4
ADV WATER RESOUR	4	Q1
ADV WOUND CARE (NEW ROCHELLE)	5.8	Q1
AEM EDUC TRAIN	1.7	Q2
AEOLIAN RES	3.1	Q2
AEQU MATH	0.9	Q3
AERA OPEN	3.5	Q1
AEROBIOLOGIA (BOLOGNA)	2.2	Q3
AEROSOL AIR QUAL RES	2.5	Q3
AEROSOL SCI TECHNOL	2.8	Q3
AEROSP MED HUM PERFORM	0.9	Q4
AEROSP SCI TECHNOL	5	Q1
AEROSPACE (BASEL)	2.1	Q2
AESTHET SURG J	3	Q1
AESTHETIC PLAST SURG	2	Q2
AEVUM	0.1	NA
AFFECT SCI	2.1	Q2
AFR AFF (LOND)	1.9	Q2
AFR ARCHAEOL REV	2	NA
AFR DEV REV	3.1	Q1
AFR ECON HIST	0.7	Q1
AFR ENTOMOL	1.2	Q3
AFR GEOGR REV	0.9	Q3
AFR HEALTH SCI	0.8	Q3
AFR J AIDS RES	1.1	Q4
AFR J DISABIL	1.3	Q4
AFR J ECOL	1.1	Q4
AFR J EMERG MED	1.4	Q3
AFR J HEALTH PROF EDUC	0.4	Q4
AFR J HERPETOL	0.8	Q3
AFR J LAB MED	1	Q4
AFR J NURS MIDWIFERY	0.5	Q4
AFR J PRIM HEALTH CARE FAM MED	1.2	Q4
AFR J RANGE FORAGE SCI	1.4	Q4
AFR J REPROD HEALTH	0.7	Q4
AFR J SCI TECHNOL INNOV DEV	1.3	Q2
AFR J UROL	0.5	Q4
AFR STUD	1	Q2
AFR STUD REV	0.8	Q2
AFRICA (LOND)	1.2	Q1
AGE AGEING	6	Q1
AGEING INT	1	Q4
AGEING RES REV	12.5	Q1
AGEING SOC	2.3	Q2
AGENDA	0.5	Q3
AGGREGATE (HOBOKEN)	13.9	Q1
AGGRESS BEHAV	2.7	Q1
AGGRESS VIOLENT BEHAV	3.4	Q1
AGING (ALBANY NY)	3.9	Q2
AGING BRAIN	1.7	Q4
AGING CELL	8	Q1
AGING CLIN EXP RES	3.4	Q2
AGING DIS	7	Q1
AGING MALE	2.7	Q2
AGING MED (MILTON)	2.2	Q3
AGING MENT HEALTH	2.8	Q2
AGREKON	1.6	Q2
AGRI	0.8	Q3
AGRIBUSINESS (N Y N Y)	2.1	Q3
AGRIC ECON	4.5	Q1
AGRIC ECOSYST ENVIRON	6	Q1
AGRIC FOOD ECON	4	Q1
AGRIC FOR ENTOMOL	1.6	Q2
AGRIC FOR METEOROL	5.6	Q1
AGRIC HIST	0.4	Q3
AGRIC HIST REV	0.6	Q1
AGRIC HUMAN VALUES	3.5	Q1
AGRIC RES	1.4	Q3
AGRIC RESOUR ECON REV	1.3	Q3
AGRIC WATER MANAG	5.9	Q1
AGRICULTURE (BASEL)	3.3	Q1
AGROFOR SYST	2	Q2
AGRON J	2	Q2
AGRON SUSTAIN DEV	6.4	Q2
AGRONOMY (BASEL)	3.3	Q1
AGROSYST GEOSCI ENVIRON	1.3	Q3
AI (BASEL)	3.1	Q2
AI MAG	2.5	Q3
AI SOC	2.9	Q2
AIAA J	2.1	Q2
AICHE J	3.5	Q2
AIDS	3.4	Q3
AIDS BEHAV	2.7	Q2
AIDS CARE	1.2	Q4
AIDS EDUC PREV	1.6	Q3
AIDS PATIENT CARE STDS	3.4	Q1
AIDS RES HUM RETROVIRUSES	1.5	Q4
AIDS RES THER	2.1	Q3
AIDS RES TREAT	1.1	Q4
AIDS REV	1.9	Q3
AIMS ALLERGY IMMUNOL	0.9	Q4
AIMS BIOENG	1	Q4
AIMS BIOPHYS	1.1	Q4
AIMS ENVIRON SCI	1.6	Q4
AIMS GEOSCI	0.9	Q4
AIMS MATER SCI	1.4	Q4
AIMS MATH	1.8	Q1
AIMS MED SCI	0.4	Q4
AIMS MICROBIOL	2.7	Q3
AIMS MOL SCI	0.7	Q4
AIMS NEUROSCI	3.1	Q2
AIMS PUBLIC HEALTH	3.1	Q2
AIP ADV	1.4	Q4
AIR QUAL ATMOS HEALTH	2.9	Q3
AJALOOLINE AJAK	0.1	Q3
AJNR AM J NEURORADIOL	3.1	Q1
AJP REP	0.8	Q4
AJR AM J ROENTGENOL	4.7	Q1
AJS	4.4	Q1
AJS REV	0.7	NA
AJSP REV REP	0.1	Q4
AKTUEL ERNAHRUNGSMED	0.1	Q4
AKTUELLE DERM	0.1	Q4
AKTUELLE UROL	0.3	Q4
AL QANTARA	0.4	NA
ALCOHOL	2.5	Q3
ALCOHOL ALCOHOL	2.1	Q3
ALCOHOL CLIN EXP RES (HOBOKEN)	3	Q2
ALCOHOL RES HEALTH	6.8	Q1
ALCOHOL TREAT Q	0.6	Q4
ALDRICHIMICA ACTA	2.2	Q2
ALEPH (JERUS)	0.2	NA
ALGAL RES	4.6	Q1
ALGORITHMICA	0.9	Q3
ALGORITHMS	1.8	Q2
ALGORITHMS MOL BIOL	1.5	Q3
ALIMENT PHARMACOL THER	6.6	Q1
ALKOHOL NARKOM	0.1	Q4
ALL LIFE	1	Q3
ALLERGO J	1.1	Q4
ALLERGOL IMMUNOPATHOL (MADR)	2.5	Q3
ALLERGOL INT	6.2	Q1
ALLERGY	12.6	Q1
ALLERGY ASTHMA CLIN IMMUNOL	2.6	Q3
ALLERGY ASTHMA IMMUNOL RES	4.1	Q2
ALLERGY ASTHMA PROC	2.6	Q2
ALLERGY RHINOL (PROVIDENCE)	2.3	Q1
ALP BOT	2.6	Q2
ALPHA PSYCHIATRY	1.3	Q3
ALTA LAW REV	0.3	Q3
ALTER	0.9	Q4
ALTERN LAB ANIM	2.4	Q3
ALTERN THER HEALTH MED	1.9	Q3
ALTERNATIVE (NGA PAE MARAMATANGA (ORGAN))	1.6	Q2
ALTERNATIVES (BOULDER)	1.4	Q2
ALTEX	4.5	Q2
ALZHEIMER DIS ASSOC DISORD	1.8	Q3
ALZHEIMERS DEMENT	13	Q1
ALZHEIMERS DEMENT (AMST)	4	Q2
ALZHEIMERS DEMENT (N Y)	4.9	Q1
ALZHEIMERS RES THER	7.9	Q1
AM ANN DEAF	1	Q4
AM ANTHROPOL	2.6	Q1
AM ANTIQ	2.7	NA
AM ASSOC PET GEOL BULL	2.7	Q2
AM BEHAV SCI	2.3	Q1
AM BIOL TEACH	0.3	Q4
AM ECON J APPL ECON	5.5	Q1
AM ECON J ECON POLICY	5.6	Q1
AM ECON J MICROECON	2.2	Q2
AM ECON REV	10.5	Q1
AM ECON REV INSIGHTS	8.1	Q1
AM EDUC RES J	3.5	Q1
AM ETHNOL	1.9	Q1
AM FAM PHYSICIAN	3.8	Q1
AM HEALTH DRUG BENEFITS	1.4	Q4
AM HEART J	3.7	Q1
AM HEART J PLUS	1.3	Q3
AM HIST REV	1.9	Q1
AM IMAGO	0.1	NA
AM INDIAN ALSK NATIVE MENT HEALTH RES	1.9	Q3
AM INDIAN CULT RES J	1.2	Q1
AM J ADDICT	2.5	Q2
AM J AGRIC ECON	4.2	Q1
AM J ALZHEIMERS DIS OTHER DEMEN	2.7	Q3
AM J AUDIOL	1.4	Q2
AM J BIOETH	17	Q1
AM J BIOL ANTHROPOL	1.7	Q4
AM J BOT	2.4	Q2
AM J CANCER RES	3.6	Q2
AM J CARDIOL	2.3	Q2
AM J CARDIOVASC DRUGS	2.8	Q2
AM J CASE REP	1	Q3
AM J CHIN MED	4.8	Q1
AM J CLIN DERMATOL	8.6	Q1
AM J CLIN EXP IMMUNOL	1.4	Q4
AM J CLIN EXP UROL	1.5	Q3
AM J CLIN HYPN	1.2	Q3
AM J CLIN NUTR	6.5	Q1
AM J CLIN ONCOL	1.6	Q4
AM J CLIN PATHOL	2.3	Q2
AM J COMMUNITY PSYCHOL	3.4	Q1
AM J COMP LAW	1.3	Q1
AM J CRIM JUSTICE	1.8	Q2
AM J CRIT CARE	2.7	Q1
AM J CULT SOCIOL	0.9	Q3
AM J DANCE THER	0.8	Q3
AM J DENT	0.9	Q3
AM J DERMATOPATHOL	1.1	Q4
AM J DISTANCE EDUC	1.2	Q2
AM J DRUG ALCOHOL ABUSE	2.7	Q2
AM J ECON SOCIOL	0.9	Q3
AM J EDUC (CHIC ILL)	2	Q2
AM J EMERG MED	2.7	Q1
AM J ENOL VITIC	2.2	Q2
AM J EPIDEMIOL	5	Q1
AM J EVAL	1.1	Q2
AM J FAM THER	0.9	Q4
AM J FORENSIC MED PATHOL	1	Q4
AM J GASTROENTEROL	8	Q1
AM J GERIATR PSYCHIATRY	4.4	Q1
AM J HEALTH BEHAV	2	Q3
AM J HEALTH ECON	3.1	Q1
AM J HEALTH EDUC	0.7	Q4
AM J HEALTH PROMOT	2.5	Q2
AM J HEALTH SYST PHARM	2.1	Q3
AM J HEMATOL	10.1	Q1
AM J HOSP PALLIAT CARE	1.5	Q3
AM J HUM BIOL	1.6	Q3
AM J HUM GENET	8.1	Q1
AM J HYPERTENS	3.2	Q2
AM J IND MED	2.7	Q2
AM J INFECT CONTROL	3.8	Q1
AM J INT LAW	2.7	Q1
AM J INTELLECT DEV DISABIL	1.9	Q2
AM J KIDNEY DIS	9.4	Q1
AM J LAW MED	0.5	Q3
AM J LEG HIST	0.6	Q2
AM J LIFESTYLE MED	1.5	Q3
AM J MANAG CARE	2.5	Q1
AM J MED	5.1	Q1
AM J MED GENET A	1.7	Q3
AM J MED GENET B NEUROPSYCHIATR GENET	1.6	Q3
AM J MED GENET C SEMIN MED GENET	2.8	Q2
AM J MED QUAL	1	Q4
AM J MED SCI	2.3	Q2
AM J MENS HEALTH	2.1	Q3
AM J NEPHROL	4.3	Q1
AM J NUCL MED MOL IMAGING	2	Q3
AM J NURS	2.5	Q1
AM J OBSTET GYNECOL	8.7	Q1
AM J OBSTET GYNECOL MFM	3.8	Q1
AM J OCCUP THER	2.1	Q1
AM J OPHTHALMOL	4.1	Q1
AM J ORTHOD DENTOFACIAL ORTHOP	2.7	Q1
AM J ORTHOPSYCHIATRY	2.3	Q1
AM J OTOLARYNGOL	1.8	Q2
AM J PATHOL	4.7	Q1
AM J PERINATOL	1.5	Q2
AM J PHARM EDUC	3.8	Q2
AM J PHILOL	0.6	NA
AM J PHYS	0.8	Q3
AM J PHYS ANTHROPOL	2.6	Q2
AM J PHYS MED REHABIL	2.2	Q2
AM J PHYSIOL CELL PHYSIOL	5	Q1
AM J PHYSIOL ENDOCRINOL METAB	4.2	Q1
AM J PHYSIOL GASTROINTEST LIVER PHYSIOL	3.9	Q1
AM J PHYSIOL HEART CIRC PHYSIOL	4.1	Q1
AM J PHYSIOL LUNG CELL MOL PHYSIOL	3.6	Q1
AM J PHYSIOL REGUL INTEGR COMP PHYSIOL	2.2	Q3
AM J PHYSIOL RENAL PHYSIOL	3.7	Q1
AM J PLAY	0.6	Q3
AM J POL SCI	5	Q1
AM J POTATO RES	1.2	Q3
AM J PREV CARDIOL	4.3	Q1
AM J PREV MED	4.3	Q1
AM J PRIMATOL	2	Q1
AM J PSYCHIATRY	15.1	Q1
AM J PSYCHOL	0.9	Q3
AM J PSYCHOTHER	2.3	Q2
AM J PUBLIC HEALTH	9.6	Q1
AM J REPROD IMMUNOL	2.5	Q3
AM J RESPIR CELL MOL BIOL	5.9	Q1
AM J RESPIR CRIT CARE MED	19.3	Q1
AM J RHINOL ALLERGY	2.5	Q1
AM J SCI	1.9	Q3
AM J SEX EDUC	1.2	Q2
AM J SPEECH LANG PATHOL	2.3	Q1
AM J SPORTS MED	4.2	Q1
AM J STEM CELLS	1.5	Q4
AM J SURG	2.7	Q1
AM J SURG PATHOL	4.5	Q1
AM J THER	2.9	Q2
AM J TRANSL RES	1.7	Q4
AM J TRANSPLANT	8.9	Q1
AM J TROP MED HYG	1.9	Q2
AM J VET RES	1.3	Q2
AM JEW HIST	0.3	Q2
AM LIT	0.6	NA
AM LIT HIST	0.6	NA
AM MALACOL BULL	0.4	Q4
AM MATH MON	0.4	Q4
AM MINERAL	2.7	Q2
AM NAT	2.4	Q2
AM PHILOS Q	0.8	NA
AM POLIT RES	1.6	Q2
AM POLIT SCI REV	5.9	Q1
AM PSYCHOL	12.3	Q1
AM Q	0.5	NA
AM REV CAN STUD	0.5	Q3
AM REV PUBLIC ADM	2.5	Q2
AM SCI	0.5	Q4
AM SOCIOL REV	7.1	Q1
AM SPEECH	1	Q2
AM STAT	1.8	Q1
AM SURG	1	Q3
AMB EXPRESS	3.5	Q2
AMBIO	5.8	Q1
AMBIX	0.3	Q3
AME CASE REP	0.7	Q3
AMERASIA J	0.4	NA
AMERICAS (ACAD AM FRANCISC HIST)	0.6	Q1
AMINO ACIDS	3	Q3
AMPHIB REPTIL	1	Q3
AMPHIB REPTILE CONSERV	1.3	Q2
AMYLOID	5.2	Q1
AMYOTROPH LATERAL SCLER FRONTOTEMPORAL DEGENER	2.5	Q2
AN ACAD BRAS CIENC	1.1	Q3
AN BRAS DERMATOL	2.6	Q2
AN PEDIATR (BARC)	1.5	Q2
AN SIST SANIT NAVAR	1	Q4
ANAEROBE	2.5	Q3
ANAESTH CRIT CARE PAIN MED	3.7	Q1
ANAESTH INTENSIVE CARE	1.1	Q3
ANAESTH REP	0.8	Q3
ANAESTHESIA	7.5	Q1
ANAESTHESIOL INTENSIVE THER	1.6	Q2
ANAESTHESIOLOGIE	1.1	Q3
ANAL BIOANAL CHEM	3.8	Q1
ANAL BIOCHEM	2.6	Q2
ANAL CELL PATHOL (AMST)	2.6	Q2
ANAL CHEM	6.7	Q1
ANAL CHIM ACTA	5.7	Q1
ANAL MATH PHYS	1.4	Q2
