abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
INT J DEV NEUROSCI	International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	0736-5748	1873-474X	WILEY	INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE	2.457	2.54	1.8	1.7	1.6	Q3	Q3	Q4	Q3	Q3
J BIOL REGUL HOMEOST AGENTS	Journal of biological regulators and homeostatic agents	0393-974X	1724-6083		JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS	1.711	2.843	3.2	0.8		Q4	Q3	Q2	Q4	
ACTA MED OKAYAMA	Acta medica Okayama	0386-300X		OKAYAMA UNIV MED SCHOOL	ACTA MEDICA OKAYAMA	0.892	0.744	0.5	0.6	0.6	Q4	Q4	Q4	Q4	Q4
J BONE MINER RES	Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	0884-0431	1523-4681	OXFORD UNIV PRESS	JOURNAL OF BONE AND MINERAL RESEARCH	6.741	6.39	6.2	5.1	5.9	Q1	Q1	Q1	Q1	Q1
ACTA MED PORT	Acta medica portuguesa	0870-399X	1646-0758	ORDEM MEDICOS	ACTA MEDICA PORTUGUESA	1.141	1.698	1.2	0.8	1.0	Q4	Q3	Q4	Q3	Q3
ACTA NEUROBIOL EXP (WARS)	Acta neurobiologiae experimentalis	0065-1400	1689-0035	NENCKI INST EXPERIMENTAL BIOLOGY	ACTA NEUROBIOLOGIAE EXPERIMENTALIS	1.579	1.269	1.4	1.4	1.4	Q4	Q4	Q4	Q4	Q4
ACTA NEUROCHIR (WIEN)	Acta neurochirurgica	0001-6268	0942-0940	SPRINGER WIEN	ACTA NEUROCHIRURGICA	2.216	2.816	2.4	1.9	1.9	Q3	Q2	Q2	Q2	Q2
ACTA NEUROL BELG	Acta neurologica Belgica	0300-9009	2240-2993	SPRINGER HEIDELBERG	ACTA NEUROLOGICA BELGICA	2.396	2.471	2.7	2.0	2.1	Q3	Q3	Q3	Q3	Q3
ACTA NEUROL SCAND	Acta neurologica Scandinavica	0001-6314	1600-0404	WILEY	ACTA NEUROLOGICA SCANDINAVICA	3.209	3.915	3.5	2.9	2.7	Q3	Q2	Q2	Q2	Q2
ACTA NEUROPATHOL	Acta neuropathologica	0001-6322	1432-0533	SPRINGER	ACTA NEUROPATHOLOGICA	17.088	15.887	12.7	9.3	9.3	Q1	Q1	Q1	Q1	Q1
ACTA OBSTET GYNECOL SCAND	Acta obstetricia et gynecologica Scandinavica	0001-6349	1600-0412	WILEY	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	3.636	4.544	4.3	3.5	3.1	Q1	Q1	Q1	Q1	Q1
ACTA ODONTOL SCAND	Acta odontologica Scandinavica	0001-6357	1502-3850	Medical Journal Sweden AB	ACTA ODONTOLOGICA SCANDINAVICA	2.331	2.232	2.0	1.4	1.9	Q3	Q3	Q3	Q3	Q2
ACTA ORTHOP BELG	Acta orthopaedica Belgica	0001-6462		ACTA MEDICA BELGICA	ACTA ORTHOPAEDICA BELGICA	0.5	0.35	0.4	0.5	0.6	Q4	Q4	Q4	Q4	Q4
ACTA OTOLARYNGOL	Acta oto-laryngologica	0001-6489	1651-2251	TAYLOR & FRANCIS LTD	ACTA OTO-LARYNGOLOGICA	1.494	1.698	1.4	1.2	1.0	Q4	Q4	Q4	Q3	Q3
ACTA OTORHINOLARYNGOL ITAL	Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	0392-100X	1827-675X	PACINI EDITORE	ACTA OTORHINOLARYNGOLOGICA ITALICA	2.124	2.618	2.0	2.1	2.1	Q2	Q2	Q3	Q2	Q2
ACTA POL PHARM	Acta poloniae pharmaceutica	0001-6837		POLSKIE TOWARZYSTWO FARMACEUTYCZNE	ACTA POLONIAE PHARMACEUTICA	0.33	0.555	0.4	0.4	0.4	Q4	Q4	Q4	Q4	Q4
ACTA PSIQUIATR PSICOL AM LAT	Acta psiquiatrica y psicologica de America latina	0001-6896		FUNDACION ACTA	ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA			0.1							Q4
ACTA PSYCHIATR SCAND	Acta psychiatrica Scandinavica	0001-690X	1600-0447	WILEY	ACTA PSYCHIATRICA SCANDINAVICA	6.392	7.734	6.7	5.3	5.0	Q1	Q1	Q1	Q1	Q1
ACTA PSYCHOL (AMST)	Acta psychologica	0001-6918	1873-6297	ELSEVIER	ACTA PSYCHOLOGICA	1.734	1.984	1.8	2.1	2.7	Q4	Q4	Q3	Q2	Q2
ACTA STOMATOL CROAT	Acta stomatologica Croatica	0001-7019	1846-0410	UNIV ZAGREB, SCH DENTAL MEDICINE	ACTA STOMATOLOGICA CROATICA			1.4	1.4	1.8				Q3	Q3
ACTA TROP	Acta tropica	0001-706X	1873-6254	ELSEVIER	ACTA TROPICA	3.112	3.222	2.7	2.1	2.5	Q1	Q2	Q2	Q2	Q1
ACTA VET HUNG	Acta veterinaria Hungarica	0236-6290			ACTA VETERINARIA HUNGARICA	0.955	0.959	0.9	0.7	0.8	Q3	Q3	Q3	Q3	Q3
ACTA VET SCAND	Acta veterinaria Scandinavica	0044-605X	1751-0147	BMC	ACTA VETERINARIA SCANDINAVICA	1.695	2.048	2.1	1.9	1.7	Q2	Q2	Q2	Q2	Q2
ACTA VIROL	Acta virologica	0001-723X	1336-2305		ACTA VIROLOGICA	1.162	1.827	1.7	1.1	0.8	Q4	Q4	Q4	Q4	Q4
ACTAS DERMOSIFILIOGR	Actas dermo-sifiliograficas	0001-7310	1578-2190	ELSEVIER ESPANA	ACTAS DERMO-SIFILIOGRAFICAS			3.2	3.8	2.8				Q1	Q2
ACTAS UROL ESP	Actas urologicas espanolas	0210-4806	1699-7980	ELSEVIER ESPANA	ACTAS UROLOGICAS ESPANOLAS	0.994	0.887	1.1	1.2	1.2	Q4	Q4	Q4	Q3	Q3
ACUPUNCT ELECTROTHER RES	Acupuncture & electro-therapeutics research	0360-1293		SAGE PUBLICATIONS INC	ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH	0.143	0.684	0.3	0.2	0.4	Q4	Q4	Q4	Q4	Q4
ADDICT BEHAV	Addictive behaviors	0306-4603	1873-6327	PERGAMON-ELSEVIER SCIENCE LTD	ADDICTIVE BEHAVIORS	3.913	4.591	4.4	3.7	3.6	Q2	Q2	Q1	Q1	Q1
ADM SCI Q	Administrative science quarterly	0001-8392		SAGE PUBLICATIONS INC	ADMINISTRATIVE SCIENCE QUARTERLY	11.113	12.529	10.4	8.3	6.5	Q1	Q1	Q1	Q1	Q1
ADV ANAT EMBRYOL CELL BIOL	Advances in anatomy, embryology, and cell biology	0301-5556			ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY	1.231	1.182				Q4	Q4			
ADV APPL MICROBIOL	Advances in applied microbiology	0065-2164			ADVANCES IN APPLIED MICROBIOLOGY	5.086	5.515				Q1	Q1			
ADV BIOCHEM ENG BIOTECHNOL	Advances in biochemical engineering/biotechnology	0724-6145	1616-8542		ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY	2.635	2.768				Q3	Q3			
ADV CANCER RES	Advances in cancer research	0065-230X	2162-5557		ADVANCES IN CANCER RESEARCH	6.242	5.767				Q2	Q2			
ADV CARBOHYDR CHEM BIOCHEM	Advances in carbohydrate chemistry and biochemistry	0065-2318	2162-5530		ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY	12.2	3.714				Q1	Q2			
ADV CHILD DEV BEHAV	Advances in child development and behavior	0065-2407			ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR	2.182	3.531				Q3	Q2			
ADV CHROMATOGR	Advances in chromatography	0065-2415			ADVANCES IN CHROMATOGRAPHY	0.389	0.4				Q4	Q4			
ADV CLIN CHEM	Advances in clinical chemistry	0065-2423	2162-9471		ADVANCES IN CLINICAL CHEMISTRY	5.394	6.303				Q1	Q1			
ADV EXP MED BIOL	Advances in experimental medicine and biology	0065-2598	2214-8019		ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY	2.622	3.65				Q2	Q2			
ADV GENET	Advances in genetics	0065-2660			ADVANCES IN GENETICS	1.944	3.88				Q4	Q2			
ADV HETEROCYCL CHEM	Advances in heterocyclic chemistry	0065-2725	1557-8429		ADVANCES IN HETEROCYCLIC CHEMISTRY	3.552	3.606				Q2	Q2			
ADV IMMUNOL	Advances in immunology	0065-2776	1557-8445		ADVANCES IN IMMUNOLOGY	3.543	5.324				Q3	Q2			
ADV MICROB PHYSIOL	Advances in microbial physiology	0065-2911	2162-5468		ADVANCES IN MICROBIAL PHYSIOLOGY	3.517	4.731				Q2	Q2			
ADV PARASITOL	Advances in parasitology	0065-308X	2163-6079		ADVANCES IN PARASITOLOGY	3.87	3.125				Q1	Q2			
ADV VIRUS RES	Advances in virus research	0065-3527	1557-8399		ADVANCES IN VIRUS RESEARCH	11.593	9.938				Q1	Q1			
AESTHETIC PLAST SURG	Aesthetic plastic surgery	0364-216X	1432-5241	SPRINGER	AESTHETIC PLASTIC SURGERY	2.326	2.708	2.4	2.0	2.8	Q3	Q2	Q2	Q2	Q1
AGE AGEING	Age and ageing	0002-0729	1468-2834	OXFORD UNIV PRESS	AGE AND AGEING	10.668	12.782	6.7	6.0	7.1	Q1	Q1	Q1	Q1	Q1
AM J OTOLARYNGOL	American journal of otolaryngology	0196-0709	1532-818X	W B SAUNDERS CO-ELSEVIER INC	AMERICAN JOURNAL OF OTOLARYNGOLOGY	1.808	2.873	2.5	1.8	1.7	Q3	Q2	Q2	Q2	Q2
BRAIN DEV	Brain & development	0387-7604	1872-7131	ELSEVIER	BRAIN & DEVELOPMENT	1.961	2.272	1.7	1.4	1.3	Q3	Q3	Q3	Q3	Q3
AM J DERMATOPATHOL	The American Journal of dermatopathology	0193-1091	1533-0311	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF DERMATOPATHOLOGY	1.533	1.319	1.1	1.1	1.0	Q4	Q4	Q4	Q4	Q4
ALCOHOL CLIN EXP RES	Alcoholism, clinical and experimental research	0145-6008	1530-0277		ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH	3.455	3.928	3.2			Q3	Q3	Q3		
APPL RADIOL	Applied radiology	0160-9963			APPLIED RADIOLOGY			0.3	0.4					Q4	
ALLERGY	Allergy	0105-4538	1398-9995	WILEY	ALLERGY	13.146	14.71	12.4	12.6	12.0	Q1	Q1	Q1	Q1	Q1
AJR AM J ROENTGENOL	AJR. American journal of roentgenology	0361-803X	1546-3141	AMER ROENTGEN RAY SOC	AMERICAN JOURNAL OF ROENTGENOLOGY	3.959	6.582	5.0	4.7	6.1	Q2	Q1	Q1	Q1	Q1
AJNR AM J NEURORADIOL	AJNR. American journal of neuroradiology	0195-6108	1936-959X	AMER SOC NEURORADIOLOGY	AMERICAN JOURNAL OF NEURORADIOLOGY	3.825	4.966	3.5	3.1	3.7	Q2	Q2	Q2	Q1	Q1
ALLERGOL IMMUNOPATHOL (MADR)	Allergologia et immunopathologia	0301-0546	1578-1267	CODON PUBLICATIONS	ALLERGOLOGIA ET IMMUNOPATHOLOGIA	1.667	2.094	1.8	2.5	2.1	Q4	Q4	Q4	Q3	Q3
AM BEHAV SCI	The American behavioral scientist	0002-7642	1552-3381	SAGE PUBLICATIONS INC	AMERICAN BEHAVIORAL SCIENTIST	2.558	2.531	3.2	2.3	1.5	Q2	Q2	Q1	Q1	Q2
AM ANN DEAF	American annals of the deaf	0002-726X		GALLAUDET UNIV PRESS	AMERICAN ANNALS OF THE DEAF	0.872	0.944	1.0	1.0	0.9	Q4	Q4	Q4	Q3	Q4
AM FAM PHYSICIAN	American family physician	0002-838X	1532-0650	AMER ACAD FAMILY PHYSICIANS	AMERICAN FAMILY PHYSICIAN	3.292	5.305	4.0	3.8	3.5	Q1	Q1	Q1	Q1	Q1
AM HEART J	American heart journal	0002-8703	1097-6744	MOSBY-ELSEVIER	AMERICAN HEART JOURNAL	4.749	5.099	4.8	3.7	3.5	Q2	Q2	Q2	Q1	Q2
AM J BOT	American journal of botany	0002-9122	1537-2197	WILEY	AMERICAN JOURNAL OF BOTANY	3.844	3.325	3.0	2.4	2.7	Q1	Q2	Q2	Q2	Q2
AM J CARDIOL	The American journal of cardiology	0002-9149	1879-1913	EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF CARDIOLOGY	2.778	3.133	2.8	2.3	2.1	Q3	Q3	Q3	Q2	Q3
AM J CHIN MED	The American journal of Chinese medicine	0192-415X	1793-6853	WORLD SCIENTIFIC PUBL CO PTE LTD	AMERICAN JOURNAL OF CHINESE MEDICINE	4.667	6.005	5.7	4.8	5.5	Q1	Q1	Q1	Q1	Q1
AM J CLIN HYPN	The American journal of clinical hypnosis	0002-9157	2160-0562	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	AMERICAN JOURNAL OF CLINICAL HYPNOSIS	1.075	0.694	1.3	1.2	1.2	Q4	Q4	Q4	Q3	Q3
AM J CLIN NUTR	The American journal of clinical nutrition	0002-9165	1938-3207	ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF CLINICAL NUTRITION	7.047	8.472	7.1	6.5	6.9	Q1	Q1	Q1	Q1	Q1
AM J CLIN ONCOL	American journal of clinical oncology	0277-3732	1537-453X	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS	2.339	2.787	2.6	1.6	1.8	Q4	Q4	Q3	Q4	Q4
AM J CLIN PATHOL	American journal of clinical pathology	0002-9173	1943-7722	OXFORD UNIV PRESS INC	AMERICAN JOURNAL OF CLINICAL PATHOLOGY	2.493	5.4	3.5	2.3	1.9	Q3	Q1	Q2	Q2	Q3
AM J COMMUNITY PSYCHOL	American journal of community psychology	0091-0562	1573-2770	WILEY	AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY	3.554	4.019	3.1	3.4	2.3	Q1	Q1	Q1	Q1	Q1
AM J ORTHOD DENTOFACIAL ORTHOP	American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics	0889-5406	1097-6752	MOSBY-ELSEVIER	AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS	2.65	2.711	3.0	2.7	3.0	Q2	Q3	Q2	Q1	Q1
AM J ECON SOCIOL	American journal of economics and sociology	0002-9246		WILEY	AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	0.943	1.103	0.8	0.9	1.0	Q4	Q4	Q4	Q3	Q3
AM J DRUG ALCOHOL ABUSE	The American journal of drug and alcohol abuse	0095-2990	1097-9891	TAYLOR & FRANCIS INC	AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE	3.829	3.912	2.7	2.7	2.6	Q2	Q2	Q3	Q2	Q2
AM J EPIDEMIOL	American journal of epidemiology	0002-9262	1476-6256	OXFORD UNIV PRESS INC	AMERICAN JOURNAL OF EPIDEMIOLOGY	4.897	5.363	5.0	5.0	4.8	Q1	Q2	Q1	Q1	Q1
AM J HEMATOL	American journal of hematology	0361-8609	1096-8652	WILEY	AMERICAN JOURNAL OF HEMATOLOGY	10.047	13.268	12.8	10.1	9.9	Q1	Q1	Q1	Q1	Q1
AM J KIDNEY DIS	American journal of kidney diseases : the official journal of the National Kidney Foundation	0272-6386	1523-6838	W B SAUNDERS CO-ELSEVIER INC	AMERICAN JOURNAL OF KIDNEY DISEASES	8.86	11.072	13.2	9.4	8.2	Q1	Q1	Q1	Q1	Q1
AM J FORENSIC MED PATHOL	The American journal of forensic medicine and pathology	0195-7910	1533-404X		AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY	0.921	1.108	1.0	1.0	0.8	Q4	Q4	Q4	Q3	Q4
AM J GASTROENTEROL	The American journal of gastroenterology	0002-9270	1572-0241	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF GASTROENTEROLOGY	10.864	12.045	9.8	8.0	7.6	Q1	Q1	Q1	Q1	Q1
AM J HUM GENET	American journal of human genetics	0002-9297	1537-6605	CELL PRESS	AMERICAN JOURNAL OF HUMAN GENETICS	11.025	11.043	9.8	8.1	8.1	Q1	Q1	Q1	Q1	Q1
AM J IND MED	American journal of industrial medicine	0271-3586	1097-0274	WILEY	AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	2.214	3.079	3.5	2.7	3.1	Q3	Q3	Q2	Q2	Q1
AM J LAW MED	American journal of law & medicine	0098-8588			AMERICAN JOURNAL OF LAW & MEDICINE	1.0	0.694	0.6	0.5	0.6	Q3	Q4	Q4	Q3	Q2
AM J MED	The American journal of medicine	0002-9343	1555-7162	ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF MEDICINE	4.965	5.928	5.9	5.1	5.3	Q1	Q1	Q1	Q1	Q1
AM J MED SCI	The American journal of the medical sciences	0002-9629	1538-2990	ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF THE MEDICAL SCIENCES	2.378	3.462	3.1	2.3	1.8	Q3	Q2	Q2	Q2	Q2
AM J NEPHROL	American journal of nephrology	0250-8095	1421-9670	KARGER	AMERICAN JOURNAL OF NEPHROLOGY	3.754	4.605	4.2	4.3	3.2	Q2	Q1	Q1	Q1	Q1
AM J NURS	The American journal of nursing	0002-936X	1538-7488	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF NURSING	2.22	2.577	2.7	2.5	2.0	Q2	Q2	Q1	Q1	Q2
AM J OBSTET GYNECOL	American journal of obstetrics and gynecology	0002-9378	1097-6868	MOSBY-ELSEVIER	AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	8.661	10.693	9.8	8.7	8.4	Q1	Q1	Q1	Q1	Q1
AM J OCCUP THER	The American journal of occupational therapy : official publication of the American Occupational Therapy Association	0272-9490	1943-7676	AMER OCCUPATIONAL THERAPY ASSOC, INC	AMERICAN JOURNAL OF OCCUPATIONAL THERAPY	2.246	2.813	2.9	2.1	2.1	Q2	Q1	Q1	Q1	Q2
AM J OPHTHALMOL	American journal of ophthalmology	0002-9394	1879-1891	ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF OPHTHALMOLOGY	5.258	5.488	4.2	4.1	4.2	Q1	Q1	Q1	Q1	Q1
AM J ORTHOPSYCHIATRY	The American journal of orthopsychiatry	0002-9432	1939-0025	EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	2.364	3.407	3.3	2.3	2.1	Q1	Q1	Q1	Q1	Q1
AM J PHARM EDUC	American journal of pharmaceutical education	0002-9459	1553-6467	ELSEVIER	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	2.047	2.876	3.3	3.8	3.5	Q3	Q2	Q2	Q1	Q1
AM J PATHOL	The American journal of pathology	0002-9440	1525-2191	ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF PATHOLOGY	4.307	5.77	6.0	4.7	3.6	Q2	Q1	Q1	Q1	Q1
AM J PHYS ANTHROPOL	American journal of physical anthropology	0002-9483	1096-8644		AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	2.868	2.963	2.8	2.6		Q1	Q1	Q1	Q1	
AM J PSYCHIATRY	The American journal of psychiatry	0002-953X	1535-7228	AMER PSYCHIATRIC PUBLISHING, INC	AMERICAN JOURNAL OF PSYCHIATRY	18.112	19.248	17.7	15.1	14.7	Q1	Q1	Q1	Q1	Q1
AM J PSYCHOL	The American journal of psychology	0002-9556	1939-8298	UNIV ILLINOIS PRESS	AMERICAN JOURNAL OF PSYCHOLOGY	1.085	1.059	1.3	0.9	0.6	Q4	Q4	Q4	Q3	Q4
AM J PSYCHOTHER	American journal of psychotherapy	0002-9564	2575-6559	AMER PSYCHIATRIC PUBLISHING, INC	AMERICAN JOURNAL OF PSYCHOTHERAPY			2.5	2.3	2.5				Q2	Q2
AM J PUBLIC HEALTH	American journal of public health	0090-0036	1541-0048	AMER PUBLIC HEALTH ASSOC INC	AMERICAN JOURNAL OF PUBLIC HEALTH	9.308	11.576	12.7	9.6	9.6	Q1	Q1	Q1	Q1	Q1
AM J SPORTS MED	The American journal of sports medicine	0363-5465	1552-3365	SAGE PUBLICATIONS INC	AMERICAN JOURNAL OF SPORTS MEDICINE	6.203	7.01	4.8	4.2	4.5	Q1	Q1	Q1	Q1	Q1
AJS	AJS; American journal of sociology	0002-9602	1537-5390	UNIV CHICAGO PRESS	AMERICAN JOURNAL OF SOCIOLOGY	4.688	4.8	4.4	4.4	3.6	Q1	Q1	Q1	Q1	Q1
AM J SURG PATHOL	The American journal of surgical pathology	0147-5185	1532-0979	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF SURGICAL PATHOLOGY	6.394	6.298	5.6	4.5	4.2	Q1	Q1	Q1	Q1	Q1
AM J SURG	American journal of surgery	0002-9610	1879-1883	EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC	AMERICAN JOURNAL OF SURGERY	2.565	3.125	3.0	2.7	2.7	Q2	Q2	Q2	Q1	Q1
AM J TROP MED HYG	The American journal of tropical medicine and hygiene	0002-9637	1476-1645	AMER SOC TROP MED & HYGIENE	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	2.345	3.707	3.3	1.9	1.6	Q2	Q2	Q1	Q2	Q3
AM J VET RES	American journal of veterinary research	0002-9645	1943-5681	AMER VETERINARY MEDICAL ASSOC	AMERICAN JOURNAL OF VETERINARY RESEARCH	1.156	1.055	1.0	1.3	1.4	Q3	Q3	Q3	Q2	Q2
AM PSYCHOL	The American psychologist	0003-066X	1935-990X	AMER PSYCHOLOGICAL ASSOC	AMERICAN PSYCHOLOGIST	10.885	16.358	16.4	12.3	7.2	Q1	Q1	Q1	Q1	Q1
AM SCI	American scientist	0003-0996	1545-2786	SIGMA XI-SCI RES SOC	AMERICAN SCIENTIST	0.548			0.5	0.6	Q4			Q4	Q3
AM SOCIOL REV	American sociological review	0003-1224	1939-8271	SAGE PUBLICATIONS INC	AMERICAN SOCIOLOGICAL REVIEW	9.654	12.444	9.1	7.1	6.2	Q1	Q1	Q1	Q1	Q1
AM SURG	The American surgeon	0003-1348	1555-9823	SAGE PUBLICATIONS INC	AMERICAN SURGEON	0.688	1.002	1.0	1.0	0.9	Q4	Q4	Q4	Q3	Q3
AN ACAD BRAS CIENC	Anais da Academia Brasileira de Ciencias	0001-3765	1678-2690	ACAD BRASILEIRA DE CIENCIAS	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	1.753	1.813	1.3	1.1	1.1	Q3	Q3	Q3	Q3	Q3
AN BRAS DERMATOL	Anais brasileiros de dermatologia	0365-0596	1806-4841	ELSEVIER SCIENCE INC	ANAIS BRASILEIROS DE DERMATOLOGIA	1.896	2.113	1.7	2.6	3.6	Q3	Q3	Q3	Q2	Q1
ANAESTH INTENSIVE CARE	Anaesthesia and intensive care	0310-057X	1448-0271	SAGE PUBLICATIONS LTD	ANAESTHESIA AND INTENSIVE CARE	1.669	1.512	1.5	1.1	1.2	Q4	Q4	Q4	Q3	Q3
ANAESTHESIA	Anaesthesia	0003-2409	1365-2044	WILEY	ANAESTHESIA	6.955	12.893	10.7	7.5	6.9	Q1	Q1	Q1	Q1	Q1
ANAESTHESIST	Der Anaesthesist	0003-2417	1432-055X		ANAESTHESIST	1.321	1.052				Q4	Q4			
